run_name	run_number	grating_value[um]	SAW_freq[Hz]	SAW_freq_error[Hz]	A[Wm^-2]	A_err[Wm^-2]	alpha[m^2s^-1]	alpha_err[m2s-1]	beta[s^0.5]	beta_err[s^0.5]	B[Wm^-2]	B_err[Wm^-2]	theta	theta_err	tau[s]	tau_err[s]	C[Wm^-2]	C_err[Wm^-2]
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-32.txt	32	3.5217	7.50E+08	3755.1734	0.20662964	0.020454724	3.73E-05	3.84E-07	1.97E-06	3.18E-06	0.014632716	8.83E-05	2.6658757	0.004035197	2.47E-08	1.88E-10	0.001798209	9.44E-06
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-33.txt	33	3.5217	7.50E+08	3980.6919	0.1926017	0.018391002	3.66E-05	3.60E-07	6.65E-07	3.21E-06	0.015226487	8.70E-05	2.7010224	0.00382185	2.35E-08	1.68E-10	0.00177843	8.98E-06
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-34.txt	34	3.5217	7.50E+08	3959.8373	0.19811419	0.019404148	3.68E-05	3.70E-07	7.33E-07	3.28E-06	0.015452802	9.08E-05	2.6904373	0.003929578	2.33E-08	1.71E-10	0.001750208	9.30E-06
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-35.txt	35	3.5217	7.50E+08	3663.829	0.19335198	0.00091698	3.67E-05	1.19E-07	6.32E-10	NaN	0.015206399	8.68E-05	2.677683	0.003830882	2.38E-08	1.71E-10	0.001845314	8.88E-06
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-36.txt	36	3.5217	7.50E+08	3546.8882	0.19784815	0.020045578	3.64E-05	3.86E-07	1.22E-06	3.35E-06	0.015373001	9.38E-05	2.6765442	0.004081191	2.41E-08	1.85E-10	0.001996566	9.88E-06
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-37.txt	37	3.5217	7.50E+08	3639.9017	0.20222231	0.039390463	3.77E-05	7.43E-07	3.46E-07	6.53E-06	0.008245572	0.000129503	-3.4382449	0.010570044	3.66E-08	7.59E-10	0.001973256	1.84E-05
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-38.txt	38	3.5217	7.50E+08	3946.6572	0.20112099	0.028440309	3.73E-05	5.38E-07	3.03E-07	4.76E-06	0.009720267	0.00010212	-3.1761565	0.007076905	3.32E-08	4.56E-10	0.002113994	1.36E-05
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-39.txt	39	3.5217	7.50E+08	3886.9809	0.22464542	0.032229707	3.77E-05	5.64E-07	1.84E-06	4.60E-06	0.008757451	0.000106438	-3.012762	0.00820831	3.62E-08	5.81E-10	0.001737052	1.51E-05
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-40.txt	40	3.5217	7.50E+08	3943.8449	0.22809469	0.042915008	3.83E-05	7.39E-07	1.71E-06	6.02E-06	0.007691298	0.00013098	-2.7899827	0.011538938	3.80E-08	8.58E-10	0.001864165	1.91E-05
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-41.txt	41	3.5217	7.50E+08	4399.6023	0.25058796	0.037020475	3.82E-05	6.44E-07	6.00E-06	4.08E-06	0.009269147	0.000127771	-2.3340248	0.009353111	3.37E-08	6.11E-10	0.002069637	1.73E-05
