Fluence[ionscm-2]	SAW_speed[m/s]	alpha[m^2s^-1]	alpha_err[m2s-1]		
6.30384E+17	2534.263338	4.53052E-05	9.22089E-07
6.35958E+17	2534.854687	4.58925E-05	5.24188E-07
6.4156E+17	2533.994723	4.60002E-05	9.05821E-07
6.47162E+17	2533.71302	4.59396E-05	5.92679E-07
6.52602E+17	2534.834383	4.56712E-05	5.31144E-07
6.57961E+17	2532.941415	4.49052E-05	8.38315E-07
6.63294E+17	2533.914747	4.46194E-05	8.62777E-07
6.68788E+17	2533.588864	4.27937E-05	1.47964E-06
6.74228E+17	2532.859069	4.52423E-05	8.48178E-07
6.85162E+17	2531.24692	4.42553E-05	8.50663E-07
6.90629E+17	2531.627452	4.40365E-05	5.22811E-07
6.96123E+17	2531.327568	4.52479E-05	9.25255E-07
7.01617E+17	2530.747184	4.38127E-05	8.74545E-07
7.07111E+17	2530.551294	4.47524E-05	8.62957E-07
7.12578E+17	2531.427918	4.53156E-05	7.82882E-07
7.18072E+17	2530.242461	4.43353E-05	8.10472E-07
7.23701E+17	2530.18866	4.46557E-05	6.92716E-07
7.29276E+17	2529.130719	4.41332E-05	7.95643E-07
7.34877E+17	2529.640041	4.50112E-05	7.04717E-07
7.40506E+17	2528.646972	4.37812E-05	8.04361E-07
7.46081E+17	2528.746968	4.45257E-05	8.44217E-07
7.51656E+17	2528.464912	4.44358E-05	5.09574E-07
7.57177E+17	2527.645166	4.50265E-05	1.68499E-06
7.62724E+17	2527.120705	4.4585E-05	7.94486E-07
7.66172E+17	2527.371563	4.3906E-05	8.0552E-07
7.71935E+17	2527.222647	4.44896E-05	9.55887E-07
7.77564E+17	2527.602543	4.42932E-05	8.53739E-07
7.83219E+17	2526.983214	4.42476E-05	8.05667E-07
7.88498E+17	2526.657084	4.46655E-05	7.01399E-07
7.93776E+17	2524.914094	4.40263E-05	7.29186E-07
7.99163E+17	2524.479867	4.47618E-05	7.90855E-07
8.04522E+17	2529.956903	4.51241E-05	8.45774E-07
8.09935E+17	2525.847632	4.43289E-05	7.87949E-07
8.15402E+17	2522.248531	4.488E-05	8.26863E-07
8.20923E+17	2521.445763	4.4813E-05	7.70445E-07
8.2639E+17	2520.269361	4.52903E-05	5.4734E-07
8.3183E+17	2519.236463	4.41042E-05	8.01027E-07
8.42738E+17	2517.347669	4.35687E-05	7.51881E-07
8.48286E+17	2517.570902	4.02421E-05	5.05721E-07
8.53753E+17	2517.221002	4.40897E-05	7.98061E-07
8.59247E+17	2513.387314	4.39226E-05	7.658E-07
8.64795E+17	2513.657733	4.32493E-05	7.66363E-07
8.70154E+17	2514.414375	4.31155E-05	7.97711E-07
8.7554E+17	2512.290393	4.31768E-05	8.99295E-07
8.80819E+17	2511.962388	4.30716E-05	8.41581E-07
8.86124E+17	2509.80551	4.39193E-05	8.62429E-07
8.91457E+17	2513.478361	4.28196E-05	8.5639E-07
8.96843E+17	2511.272457	4.30345E-05	7.05281E-07
9.0231E+17	2512.159021	4.42034E-05	8.74061E-07
9.07777E+17	2510.067333	4.22005E-05	8.18264E-07
9.13271E+17	2507.660057	4.29724E-05	8.1562E-07
9.18765E+17	2508.027501	4.24974E-05	9.05822E-07
9.24313E+17	2507.150452	4.2836E-05	8.62715E-07
9.29888E+17	2506.90115	4.25933E-05	8.09686E-07
9.35463E+17	2508.386067	4.30286E-05	8.47669E-07
9.41091E+17	2508.453804	4.23989E-05	8.67986E-07
9.46774E+17	2507.920607	4.39401E-05	9.63978E-07
