run_number	dpa	alpha[m^2s^-1]	alpha_err[m2s-1]	SAW_speed[ms-1]	SAW_speed_err[ms-1]
223	7.29925795	3.58748E-05	9.95028E-07	2641.575929	0.013867215
224	7.33385159	3.59982E-05	6.4998E-07	2641.905983	0.013169551
225	7.36844523	3.61703E-05	1.44993E-06	2641.914928	0.013263847
226	7.403038869	3.6635E-05	1.27785E-06	2641.315359	0.014246989
227	7.437632509	3.6239E-05	1.46956E-06	2641.988778	0.013314077
228	7.472226149	3.46818E-05	1.08132E-07	2641.832168	0.01414828
229	7.506819788	3.5147E-05	1.13442E-07	2640.902158	0.013047003
230	7.541413427	3.62562E-05	6.13495E-07	2641.713733	0.013459351
231	7.576007067	3.47358E-05	3.2905E-07	2640.917864	0.013578862
232	7.610600707	3.47735E-05	3.23233E-07	2641.514194	0.013410854
233	7.645194346	3.64507E-05	7.01724E-07	2641.264188	0.013826264
234	7.679787986	3.49101E-05	3.16782E-07	2641.974128	0.01408584
235	7.714381626	3.56509E-05	6.00853E-07	2642.413143	0.015425067
236	7.748975265	3.64639E-05	6.38271E-07	2640.62257	0.013337104
237	7.783568904	3.61282E-05	6.65022E-07	2641.520251	0.013087762
238	7.818162544	3.6261E-05	7.17465E-07	2641.99959	0.013832967
239	7.852756184	3.60735E-05	5.44537E-07	2641.72208	0.013789086
240	7.887349824	3.61225E-05	1.42252E-06	2641.321663	0.014255879
241	7.921943463	3.65774E-05	7.13879E-07	2641.869005	0.013621148
