Study Name	Tungsten_temperature_sweep
Sample Name	2024-05-17
Run Name	450C_spot1
Operator	Angus
Date	5/17/2024
Time	21:47
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	9:47:54 PM
	
Time	Amplitude
3.295000E-8	2.194286E-3
3.300000E-8	1.425172E-3
3.305000E-8	6.457796E-4
3.310000E-8	-1.199091E-4
3.315000E-8	-7.999503E-4
3.320000E-8	-1.342955E-3
3.325000E-8	-1.733508E-3
3.330000E-8	-1.949340E-3
3.335000E-8	-2.002441E-3
3.340000E-8	-1.911655E-3
3.345000E-8	-1.663277E-3
3.350000E-8	-1.250456E-3
3.355000E-8	-7.245805E-4
3.360000E-8	-1.044926E-4
3.365000E-8	5.943911E-4
3.370000E-8	1.318969E-3
3.375000E-8	2.012714E-3
3.380000E-8	2.675625E-3
3.385000E-8	3.297426E-3
3.390000E-8	3.814737E-3
3.395000E-8	4.183021E-3
3.400000E-8	4.378298E-3
3.405000E-8	4.400566E-3
3.410000E-8	4.278947E-3
3.415000E-8	4.032282E-3
3.420000E-8	3.645155E-3
3.425000E-8	3.131270E-3
3.430000E-8	2.530025E-3
3.435000E-8	1.872252E-3
3.440000E-8	1.181933E-3
3.445000E-8	4.864752E-4
3.450000E-8	-1.815753E-4
3.455000E-8	-7.793949E-4
3.460000E-8	-1.257308E-3
3.465000E-8	-1.608463E-3
3.470000E-8	-1.839711E-3
3.475000E-8	-1.918507E-3
3.480000E-8	-1.820869E-3
3.485000E-8	-1.553648E-3
3.490000E-8	-1.123698E-3
3.495000E-8	-5.567114E-4
3.500000E-8	1.010614E-4
3.505000E-8	8.153616E-4
3.510000E-8	1.560495E-3
3.515000E-8	2.286786E-3
3.520000E-8	2.951410E-3
3.525000E-8	3.537239E-3
3.530000E-8	3.999736E-3
3.535000E-8	4.296076E-3
3.540000E-8	4.434825E-3
3.545000E-8	4.426260E-3
3.550000E-8	4.248114E-3
3.555000E-8	3.891820E-3
3.560000E-8	3.400203E-3
3.565000E-8	2.781828E-3
3.570000E-8	2.055537E-3
3.575000E-8	1.300126E-3
3.580000E-8	5.892522E-4
3.585000E-8	-6.338176E-5
3.590000E-8	-6.320812E-4
3.595000E-8	-1.072309E-3
3.600000E-8	-1.377214E-3
3.605000E-8	-1.557074E-3
3.610000E-8	-1.591333E-3
3.615000E-8	-1.469714E-3
3.620000E-8	-1.212771E-3
3.625000E-8	-8.479129E-4
3.630000E-8	-3.888423E-4
3.635000E-8	1.387463E-4
3.640000E-8	7.125846E-4
3.645000E-8	1.305265E-3
3.650000E-8	1.872252E-3
3.655000E-8	2.392989E-3
3.660000E-8	2.862337E-3
3.665000E-8	3.246038E-3
3.670000E-8	3.526962E-3
3.675000E-8	3.730803E-3
3.680000E-8	3.840431E-3
3.685000E-8	3.802747E-3
3.690000E-8	3.616035E-3
3.695000E-8	3.307704E-3
3.700000E-8	2.876041E-3
3.705000E-8	2.322758E-3
3.710000E-8	1.694105E-3
3.715000E-8	1.027767E-3
3.720000E-8	3.562910E-4
3.725000E-8	-2.637969E-4
3.730000E-8	-7.999503E-4
3.735000E-8	-1.236753E-3
3.740000E-8	-1.531380E-3
3.745000E-8	-1.637583E-3
3.750000E-8	-1.563926E-3
3.755000E-8	-1.336104E-3
3.760000E-8	-9.849489E-4
3.765000E-8	-5.464337E-4
3.770000E-8	-3.768751E-5
3.775000E-8	5.430026E-4
3.780000E-8	1.154526E-3
3.785000E-8	1.726651E-3
3.790000E-8	2.243962E-3
3.795000E-8	2.697894E-3
3.800000E-8	3.052474E-3
3.805000E-8	3.280297E-3
3.810000E-8	3.398490E-3
3.815000E-8	3.405342E-3
3.820000E-8	3.283723E-3
3.825000E-8	3.021641E-3
3.830000E-8	2.641366E-3
3.835000E-8	2.168592E-3
3.840000E-8	1.618735E-3
3.845000E-8	1.014064E-3
3.850000E-8	4.111054E-4
3.855000E-8	-1.610199E-4
3.860000E-8	-7.074510E-4
3.865000E-8	-1.219623E-3
3.870000E-8	-1.622166E-3
3.875000E-8	-1.870544E-3
3.880000E-8	-1.980173E-3
3.885000E-8	-1.947627E-3
3.890000E-8	-1.748925E-3
3.895000E-8	-1.404622E-3
3.900000E-8	-9.798100E-4
3.905000E-8	-4.693509E-4
3.910000E-8	1.455981E-4
3.915000E-8	8.033710E-4
3.920000E-8	1.426885E-3
3.925000E-8	1.993871E-3
3.930000E-8	2.511182E-3
3.935000E-8	2.941133E-3
3.940000E-8	3.230621E-3
3.945000E-8	3.376222E-3
3.950000E-8	3.407055E-3
3.955000E-8	3.312843E-3
3.960000E-8	3.071317E-3
3.965000E-8	2.720162E-3
3.970000E-8	2.305628E-3
3.975000E-8	1.831141E-3
3.980000E-8	1.281284E-3
3.985000E-8	7.040199E-4
3.990000E-8	1.593017E-4
3.995000E-8	-3.425926E-4
4.000000E-8	-7.999503E-4
